"time" "cases1" "cases2" "cases3"
"377" 377 84252 2639 6022
"378" 378 90496 16184 5415
"379" 379 16864 5797 12710
"380" 380 30766 13496 3399
"381" 381 37687 4476 9814
"382" 382 33778 18052 2472
"383" 383 13798 14071 564
"384" 384 16699 9722 740
"385" 385 9580 3947 2005
"386" 386 12207 4378 867
"387" 387 8198 6844 924
"388" 388 4770 1247 2923
"389" 389 446 733 848
"390" 390 6616 1147 1911
"391" 391 11028 1587 893
"392" 392 702 842 751
"393" 393 2103 1047 365
"394" 394 4088 403 1255
"395" 395 6303 391 1256
"396" 396 6087 294 94
"397" 397 2685 1266 590
"398" 398 3654 100 273
"399" 399 1384 177 27
"400" 400 2732 206 102
"401" 401 2353 1060 854
"402" 402 5230 71 580
"403" 403 4941 241 825
"404" 404 5732 1011 406
"405" 405 2477 503 425
"406" 406 3973 1435 909
"407" 407 2403 765 402
"408" 408 5751 1159 150
"409" 409 5139 288 612
"410" 410 11084 134 129
"411" 411 6877 599 329
"412" 412 13008 290 1475
"413" 413 13076 1302 892
"414" 414 12370 1921 887
"415" 415 8221 6107 806
"416" 416 5703 1181 656
